timestamp,open,high,low,close
2008-11-12,429.72,430.39,413.45,418.2
2008-11-11,429.99,430.44,423.15,424.67
2008-11-10,448.7,449.75,438.34,440.39
2008-11-07,432.68,440.81,426.38,436.5
2008-11-06,439.91,446.87,426.03,427.24
2008-11-05,456.92,459.03,453.07,453.07
2008-11-04,453.85,463.95,452.04,463.95
2008-11-03,440.03,444.33,434.83,444.33
2008-10-31,421.65,438.39,419.52,437.73
2008-10-30,431.72,435.25,420.02,429.17
2008-10-29,413.01,424.25,412.07,424.25
2008-10-28,397.44,403.4,384.76,392.64
2008-10-27,372.42,391.16,371.59,385.26
2008-10-24,377.31,388.34,372.1,388.34
2008-10-23,395.48,410.84,392.76,408.78
2008-10-22,406.33,410.04,403.18,404.09
2008-10-21,431.99,432.18,421.24,422.97
2008-10-20,406.3,406.3,406.3,406.3
2008-10-17,394.52,407.76,388.44,406.3
2008-10-16,396.35,406.36,380.81,386.14
2008-10-15,424.88,426.42,405.2,407.96
2008-10-14,450.35,453.44,426.91,439.42
2008-10-13,407.29,425.69,405.7,425.69
2008-10-10,399.89,414.77,388.38,393.21
2008-10-09,440.67,445.99,427.44,431.38
2008-10-08,458.65,465.41,433.35,436.67
2008-10-07,463.75,474.5,459.43,460.52
2008-10-06,470.91,475.89,454.97,458.92
2008-10-03,490.15,500.39,483.54,498.03
2008-10-02,504.25,504.25,486.21,487.03
2008-10-01,498.29,501.22,489.15,495.96
2008-09-30,482.04,495.34,481.82,490.25
2008-09-29,490.37,496.25,481.88,481.88
2008-09-26,509.16,512.95,505.73,508.85
2008-09-25,507.91,521.16,506.07,519.7
2008-09-24,511.99,514.28,508.73,509.56
2008-09-23,508.11,518.67,508.11,513.61
2008-09-22,529.84,533.93,523.63,523.63
2008-09-19,524.1,535.12,522.91,531.13
2008-09-18,500.74,501.59,486.07,488.0
2008-09-17,509.32,510.31,490.33,491.24
2008-09-16,505.1,512.11,496.12,502.56
2008-09-15,514.03,525.41,513.92,520.42
2008-09-12,536.56,541.67,532.07,541.67
2008-09-11,532.22,534.37,525.81,531.84
2008-09-10,539.94,541.08,532.78,536.62
2008-09-09,550.79,550.79,538.69,541.56
2008-09-08,544.02,544.76,542.17,544.63
2008-09-05,529.56,533.13,522.76,524.07
2008-09-04,552.46,553.59,536.21,536.21
2008-09-03,550.56,555.38,549.21,549.97
2008-09-02,560.35,564.65,559.92,562.07
2008-08-29,563.04,564.91,561.39,563.66
2008-08-28,554.28,563.4,553.97,560.12
2008-08-27,546.52,554.08,546.52,552.81
2008-08-26,541.83,549.3,541.06,547.07
2008-08-25,550.56,550.56,550.56,550.56
2008-08-22,543.0,550.56,542.19,550.56
2008-08-21,536.62,540.8,535.74,537.02
2008-08-20,535.88,538.42,532.58,537.18
2008-08-19,537.49,537.49,531.71,532.04
2008-08-18,548.1,549.87,543.62,545.02
2008-08-15,548.22,548.26,543.22,545.48
2008-08-14,551.61,551.82,544.56,549.74
2008-08-13,550.41,550.66,543.71,544.86
2008-08-12,555.04,556.92,550.66,553.45
2008-08-11,552.85,554.18,552.05,554.18
2008-08-08,548.03,550.72,541.08,548.92
2008-08-07,550.96,550.96,546.91,547.75
2008-08-06,545.29,549.86,544.71,548.61
2008-08-05,541.08,545.45,541.06,545.45
2008-08-04,535.18,537.9,531.03,532.02
2008-08-01,539.13,540.88,532.13,535.47
2008-07-31,544.36,545.61,537.13,541.19
2008-07-30,539.02,543.59,537.38,542.07
2008-07-29,533.01,535.46,531.15,531.92
2008-07-28,532.87,536.11,530.84,531.26
2008-07-25,531.1,537.52,530.3,535.26
2008-07-24,540.31,543.21,534.51,536.23
2008-07-23,542.42,546.59,540.02,544.99
2008-07-22,529.77,536.78,529.21,536.41
2008-07-21,544.53,544.58,538.54,540.43
2008-07-18,531.82,537.64,531.82,537.64
2008-07-17,526.47,532.05,525.3,528.63
2008-07-16,509.54,516.37,507.11,515.06
2008-07-15,516.79,520.5,511.9,517.19
2008-07-14,535.91,537.32,529.3,530.04
2008-07-11,531.72,536.86,526.16,526.16
2008-07-10,544.41,548.01,539.26,540.68
2008-07-09,550.08,553.82,549.92,552.96
2008-07-08,542.65,548.76,540.63,544.05
2008-07-07,544.26,551.64,543.86,551.27
2008-07-03,540.5,549.06,537.96,547.66
2008-07-02,555.3,556.68,542.63,542.63
2008-07-01,547.73,553.2,546.63,547.99
2008-06-30,558.63,562.59,556.57,562.59
2008-06-27,550.21,555.52,549.25,552.99
2008-06-26,559.75,560.14,551.82,551.82
2008-06-25,564.61,566.76,564.29,566.61
2008-06-24,559.46,566.95,558.83,563.47
2008-06-23,564.85,567.92,564.15,566.72
